"State","Major_City","Major_Pop","Capital_City","Capital_Pop","Statehood"
"New York","New York","8,622,698","Albany","857,592","1788"
"California","Los Angeles","3,999,759","Sacramento","2,149,127","1850"
"Illinois","Chicago","2,716,450","Springfield","210,170","1818"
"Texas","Houston","2,312,717","Austin","1,716,291","1845"
"Arizona","Phoenix","1,626,078","Phoenix","4,192,887","1912"
"Pennsylvania","Philadelphia","1,580,863","Harrisburg","647,390","1787"
"Texas","San Antonio","1,511,946","Austin","1,716,291","1845"
"California","San Diego","1,419,516","Sacramento","2,149,127","1850"
"Texas","Dallas","1,341,075","Austin","1,716,291","1845"
"California","San Jose","1,035,317","Sacramento","2,149,127","1850"
